name,city,region,cuisine,price,url,stars
Kilian Stuba,Kleinwalsertal,Austria,Creative,5,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,*
Pfefferschiff,Hallwang,Austria,Classic cuisine,5,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,*
Esszimmer,Salzburg,Austria,Creative,5,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,*
Carpe Diem,Salzburg,Austria,Market cuisine,5,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,*
Edvard,Wien,Austria,Modern cuisine,4,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,*
Das Loft,Wien,Austria,Modern cuisine,5,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,*
Pramerl & the Wolf,Wien,Austria,Creative,5,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,*
Walter Bauer,Wien,Austria,Classic cuisine,5,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,*
SHIKI,Wien,Austria,Japanese,5,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,*
Tian,Wien,Austria,Vegetarian,5,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,*
aend,Wien,Austria,Modern cuisine,5,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,*
Le Ciel by Toni Mörwald,Wien,Austria,Classic cuisine,5,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,*
Chez TJ,South San Francisco,California,Contemporary,4,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,*
Protégé,South San Francisco,California,Contemporary,3,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege,*
Madera,San Francisco,California,Contemporary,3,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera,*
The Village Pub,San Francisco,California,Contemporary,3,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub,*
Plumed Horse,South San Francisco,California,Contemporary,4,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse,*
Wakuriya,San Francisco,California,Japanese,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya,*
Sushi Yoshizumi,San Francisco,California,Japanese,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi,*
Rasa,San Francisco,California,Indian,2,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa,*
Mourad,San Francisco,California,Moroccan,3,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mourad,*
Hashiri,San Francisco,California,Japanese,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiriWako,*
Madcap,San Francisco,California,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap,*
Aubergine,Monterey,California,Contemporary,4,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,*
Kenzo,San Francisco,California,Japanese,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo,*
La Toque,San Francisco,California,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,*
Bouchon,San Francisco,California,French,3,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,*
Auberge du Soleil,San Francisco,California,Californian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,*
Farmhouse Inn & Restaurant,San Francisco,California,Californian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant,*
The Kitchen,Sacramento,California,Contemporary,4,https://guide.michelin.com/us/en/california/us-sacramento/restaurant/the-kitchen55937*,*
Madrona Manor,San Francisco,California,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,*
Kali,Los Angeles,California,Californian,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,*
Le Comptoir,Los Angeles,California,Californian,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,*
Q Sushi,Los Angeles,California,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,*
Shibumi,Los Angeles,California,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,*
Hayato,Los Angeles,California,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,*
Bistro Na's,Los Angeles,California,Chinese,2,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,*
Orsa & Winston,Los Angeles,California,Fusion,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,*
Taco María,Costa Mesa,California,Mexican,3,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,*
Hana re,Costa Mesa,California,Japanese,4,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,*
Addison,San Diego,California,Contemporary,4,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,*
Parachute,Chicago,Chicago,Fusion,2,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,*
Goosefoot,Chicago,Chicago,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,*
Elizabeth,Chicago,Chicago,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth,*
EL Ideas,Chicago,Chicago,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,*
Band of Bohemia,Chicago,Chicago,Gastropub,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,*
Sepia,Chicago,Chicago,American,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sepia,*
North Pond,Chicago,Chicago,Contemporary,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond,*
Everest,Chicago,Chicago,French,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/everest,*
Topolobampo,Chicago,Chicago,Mexican,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/topolobampo,**
Sushi Ginza Onodera,New York,New York City,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-ginza-onodera,**
Ko,New York,New York City,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ko,**
